product_link,badge,ingredient,brand,country,rating,count,recommend
https://www.ocado.com/products/sanex-biomeprotect-moisturising-shower-gel-454228011,Suitable for vegetarians,"Aqua, Glycerin, Cocamidopropyl Betaine, Sodium C14-16 Olefin Sulfonate, Inulin, Sodium Benzoate, Lactic Acid, Parfum, Hydroxyacetophenone, Sodium Pyruvate, Polyquaternium-7, Sucrose Cocoate, Butyloctanol, Lecithin, Zinc Sulfate, Poloxamer 124",Sanex,EU,4.5,44,94
https://www.ocado.com/products/imperial-leather-foamburst-bergamot-sea-minerals-456209011,Suitable for vegetarians,"Aqua, Isopentane, Sodium Laureth Sulfate, Lauramine Oxide, Parfum, Acrylates/Steareth-20 Methacrylate Crosspolymer, PEG-200 Hydrogenated Glyceryl Palmate, Limonene, DMDM Hydantoin, PEG-7 Glyceryl Cocoate, Tetrasodium Glutamate Diacetate, Linalool, Lactic Acid, Sodium Hydroxide, Sodium Benzoate, Glycerin, Mentha Aquatica Flower/Leaf/Stem Extract, Propylene Glycol, Maris Sal, Fucus Vesiculosus Extract, Laminaria Digitata Extract, Citrus Aurantium Bergamia Fruit Extract, Potassium Sorbate, CI 42090, CI 47005",Imperial Leather,England,3.9,15,80
https://www.ocado.com/products/sensodyne-repair-and-protect-toothpaste-whitening-deep-repair-561634011,NA,"Glycerin, PEG-8, Hydrated Silica, Calcium Sodium Phosphosilicate (NOVAMIN), Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Aroma, Titanium Dioxide, Carbomer, Silica, Sodium Saccharin, Sodium Fluoride, Limonene. Contains Sodium Fluoride 0.315% w/w (1450 ppm fluoride). As we are always looking to improve our products, our formulations change from time to time, so please always check the product packaging before use.",Sensodyne,NA,NA,NA,NA
https://www.ocado.com/products/babykind-giant-cotton-pads-68787011,NA,NA,Babykind,NA,4.7,9,89
https://www.ocado.com/products/the-organic-protein-co-madagascan-vanilla-whey-protein-powder-487273011,"Organic, Suitable for vegetarians","Organic whey protein concentrate from organic milk (92.2%), unrefined organic coconut sugar (6.8%), ground organic Bourbon vanilla pods (1%)Dietary InformationGluten Free, No Artificial Additives, Suitable for Vegetarians, Hormone Free, Certified Organic",The Organic Protein Company,UK,4.5,8,88
https://www.ocado.com/products/carex-original-handwash-17750011,NA,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Glycerin, Polyquaternium-7, Parfum, Lactic Acid, Sodium Benzoate, Tetrasodium Glutamate Diacetate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Methoxycinnamate, Hexyl Cinnamal, Limonene, Linalool, Alpa-Isomethyl Ionone, Citronellol, CI 42051Dietary InformationSuitable for Vegans",Carex,United Kingdom,4.4,12,84
https://www.ocado.com/products/colgate-total-advanced-deep-clean-toothpaste-308769011,Suitable for vegetarians,"Glycerin, Hydrated Silica, Aqua, Sodium Methyl Cocoyl Taurate, Arginine, Aroma, Zinc Oxide, Cellulose Gum, Cocamidopropyl Betaine, Benzyl Alcohol, Zinc Citrate, Tetrasodium Pyrophosphate, Sodium Saccharin, Xanthan Gum, Sodium Fluoride. Contains: Sodium Fluoride Total Fluoride content: 1450 ppm",Colgate,NA,3.6,64,72
https://www.ocado.com/products/oral-b-pro-expert-clean-mint-toothpaste-62656011,NA,"Glycerin, Hydrated Silica, Sodium Hexametaphosphate, Aqua, Sodium Gluconate, Sodium Lauryl Sulfate, Aroma, Carrageenan, Trisodium Phosphate, Stannous Fluoride, Sodium Saccharin, PVP, Stannous Chloride, Xanthan Gum, Cocamidopropyl Betaine, Cinnamal, Sodium Fluoride, Eugenol, Sodium Hydroxide, CI 74160, Sodium Benzoate",Oral-B,Germany,4.0,55,73
https://www.ocado.com/products/sensodyne-repair-and-protect-toothpaste-whitening-deep-repair-561634011,NA,"Glycerin, PEG-8, Hydrated Silica, Calcium Sodium Phosphosilicate (NOVAMIN), Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Aroma, Titanium Dioxide, Carbomer, Silica, Sodium Saccharin, Sodium Fluoride, Limonene. Contains Sodium Fluoride 0.315% w/w (1450 ppm fluoride). As we are always looking to improve our products, our formulations change from time to time, so please always check the product packaging before use.",Sensodyne,NA,NA,NA,NA
https://www.ocado.com/products/l-oreal-elvive-colour-protect-shampoo-26965011,NA,"1199588 B, Aqua / Water, Sodium Laureth Sulfate, Dimethicone, Coco-Betaine, Sodium Chloride, Glycol Distearate, Guar Hydroxypropyltrimonium Chloride, Cocamide Mipa, Cocos Nucifera Oil / Coconut Oil, Sodium Benzoate, Sodium Hydroxide, Paeonia Albiflora Root Extract, Paeonia Officinalis Flower Extract, Ethylhexyl Salicylate, Salicylic Acid, Fumaric Acid, Benzyl Alcohol, Benzyl Salicylate, Linalool, Alpha-Isomethyl Ionone, Carbomer, Geraniol, Citric Acid, Citronellol, Potassium Sorbate, Hexylene Glycol, Hexyl Cinnamal, Glycerin, Parfum / Fragrance, (F.I.L C241469/1)",L'Oréal Paris,France,4.2,52,89
