category,brand,product,price,weight,badge,shelf_life,country,rating,num_of_reviews,recommend,ingredient,reviews,nutrition,image_link,product_link,category_link
Fresh & Chilled Food,Vbites,Vegideli Cheatin' Vegan Streaky Style Bacon Rashers,2.5,115g,"Suitable for freezing, Suitable for vegetarians",LIFE 2w+,NA,3.1,128,54,"Water, Wheat Gluten, Soya Protein, Coconut Oil, Salt, Potato Starch, Dried Yeast, Rapeseed Oil, Natural Flavouring, Thickener: Carrageenan, Preservative: Potassium Sorbate, Onion Powder, Sugar, Colour: Iron Oxide",,,https://www.ocado.com/productImages/546/54610011_0_150x150.jpg?identifier=c98f4c1e377bf019b0959f55f15e18a9,https://www.ocado.com/products/vegideli-cheatin-vegan-streaky-style-bacon-rashers-54610011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,Frubes,Frubes Strawberry & Banana Flavour Yoghurt,1,9 x 40g,Suitable for freezing,LIFE 1w+,NA,4.5,13,93,"Yogurt (Skimmed Milk, Cream (Milk), Skimmed Milk Powder, Lactic Cultures (Milk)), Sugar 7.1%, Modified Manioc and Maize Starch, Calcium Citrate, Stabiliser: Guar Gum, Natural Flavourings, Acidity Regulator: Citric Acid, Preservative: Potassium Sorbate, Vitamin DAllergen Information",,,https://www.ocado.com/productImages/259/259279011_0_150x150.jpg?identifier=d999c1a08809c84777cb072ed56bff05,https://www.ocado.com/products/frubes-strawberry-banana-flavour-yoghurt-259279011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
"Soft Drinks, Tea & Coffee",Teapigs,Teapigs Cucumber & Apple Cold Brew Tea,4,10 per pack,Suitable for vegetarians,NA,NA,3.3,26,54,"Apple Pomace (61.2%), Citric Acid, White Hibiscus, Spirulina, Cucumber Extract (Natural Cucumber Flavouring) (4%), Cucumber (1%), Natural Flavouring (Watermelon Flavouring)Dietary Information",,,https://www.ocado.com/productImages/476/476643011_0_150x150.jpg?identifier=5ec763135961def337c2609b0920aa98,https://www.ocado.com/products/teapigs-cucumber-apple-cold-brew-tea-476643011,https://www.ocado.com/browse/soft-drinks-tea-coffee-20977?hideOOS=true
Fresh & Chilled Food,Oykos,Oykos Greek Style Yoghurt Peach,2.5,4 x 110g,Suitable for vegetarians,LIFE 1w+,Germany,4.4,24,88,"Yogurt (Milk), Peach (13%), Sugar (7.8%), Modified Maize Starch, Carrot Concentrate, Natural Flavour, Acidity Regulators (Citric Acid, Sodium Citrate), Thickener (Carrageenan)Dietary Information",,,https://www.ocado.com/productImages/697/69777011_0_150x150.jpg?identifier=ce81045b613734ff587b66ee540f8e19,https://www.ocado.com/products/oykos-greek-style-yoghurt-peach-69777011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,Barebells,Barebells Protein Milkshake Vanilla,2.5,330ml,NA,NA,Austria,4.8,22,100,"Milk, Water, Milk Protein Powder, Cocoa Butter, Flavouring, Stabilisers (Cellulose, Carboxymethylcellulose, Carrageenan), Sweeteners (Acesulfame Potassium, Sucralose), Colouring (Carotine), Enzyme (Lactase)Allergen Information",,,https://www.ocado.com/productImages/436/436524011_0_150x150.jpg?identifier=88369b9f173adaf1eef0f48306b02fd0,https://www.ocado.com/products/barebells-protein-milkshake-vanilla-436524011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Bakery,Schar,Schar Gluten Free Sweet Brioche Rolls,2,4 x 50g,"Suitable for freezing, Suitable for vegetarians",LIFE 2w+,Germany,4.4,30,84,"Rice Flour, Maize Starch, Water, Sugar, Egg, Rice Starch, Vegetable Margarine [Palm Fat, Water, Rape Seed Oil, Salt, Emulsifier: Mono- and Diglycerides of Fatty Acids; Acid: Citric Acid; Natural Flavour], Glucose Syrup, Vegetable Fibre (Psyllium), Thickeners: Guar Gum, Hydroxypropyl Methyl Cellulose, Yeast, Emulsifier: Mono- and Diglycerides of Fatty Acids, Salt, Acid: Citric Acid, Flavour",,,https://www.ocado.com/productImages/284/28414011_0_150x150.jpg?identifier=ede1aa11ebc77826ab9aaaf777403205,https://www.ocado.com/products/schar-gluten-free-sweet-brioche-rolls-28414011,https://www.ocado.com/browse/bakery-25189?hideOOS=true
"Soft Drinks, Tea & Coffee",San Pellegrino,San Pellegrino Blood Orange,3,6 x 330ml,NA,NA,Italy,3.2,132,60,"Water, Orange Juice from Concentrate (13%), Blood Orange Juice from Concentrate (3%), Sugar, Carbon Dioxide, Natural Orange Flavouring with other Natural Flavourings, Orange Extract, Colours: Anthocyanins and Paprika Extract, Stabilisers: Pectins, Acid: Citric Acid, Sweetener from natural origin, Natural Flavourings, Sweetener: Steviol Glycosides",,,https://www.ocado.com/productImages/709/70967011_0_150x150.jpg?identifier=5e1753de7ad02e7cd6fa4c7b77acd9b1,https://www.ocado.com/products/san-pellegrino-blood-orange-70967011,https://www.ocado.com/browse/soft-drinks-tea-coffee-20977?hideOOS=true
"Soft Drinks, Tea & Coffee",ACTIPH,ACTIPH Water Alkaline Ionised,5.5,6 x 600ml,Suitable for vegetarians,NA,NA,4.2,5,80,"Spring Water, Magnesium Sulphate, Sodium Bicarbonate, Potassium Bicarbonate",,,https://www.ocado.com/productImages/543/543086011_0_150x150.jpg?identifier=469228125f13597b1dbf4147510a773f,https://www.ocado.com/products/actiph-water-alkaline-ionised-543086011,https://www.ocado.com/browse/soft-drinks-tea-coffee-20977?hideOOS=true
Fresh & Chilled Food,M&S,M&S Cornish Favourites Cheese Selection,3.15,14 per pack,Suitable for vegetarians,LIFE 2w+,UK,5.0,7,100,NA,,,https://www.ocado.com/productImages/518/518152011_0_150x150.jpg?identifier=b9dc9d817bcafc6b5f932312558ce61f,https://www.ocado.com/products/m-s-cornish-favourites-cheese-selection-518152011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,DAYLESFORD ORGANIC,Daylesford Organic Apricot Nectar,4.3,750ml,"Organic, Suitable for vegetarians",LIFE 3w+,France,3.9,21,72,NA,,,https://www.ocado.com/productImages/642/64247011_0_150x150.jpg?identifier=27c204eb06bd73a80f59abb2c00471ee,https://www.ocado.com/products/daylesford-organic-apricot-nectar-64247011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Bakery,M&S,M&S Sultana & Glace Cherry Cake,2.5,350g,"Suitable for freezing, Suitable for vegetarians",LIFE 1w+,UK,3.7,24,75,"Sultanas, Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin), Sugar, Glacé Cherries (Cherries, Glucose-Fructose Syrup, Sugar, Acidity Regulator: Citric Acid, Fruit and Vegetable Extracts (Black Carrot, Aronia)), Pasteurised Egg, Butter (Milk), Palm Oil, Rapeseed Oil, Humectant: Glycerol, Glucose Syrup, Rice Flour, Raising Agent: E450, E501, Salt, Stabiliser: Xanthan Gum, Acidity Regulator: Tartaric Acid, Emulsifier: E471, Colour: Carotenes",,,https://www.ocado.com/productImages/510/510646011_0_150x150.jpg?identifier=7ab43041b7642dc40f40b5d3be20f733,https://www.ocado.com/products/m-s-sultana-glace-cherry-cake-510646011,https://www.ocado.com/browse/bakery-25189?hideOOS=true
Fresh & Chilled Food,M&S,M&S Cornish Cove Vintage Cheddar,3.9499999999999997,300g,Suitable for vegetarians,LIFE 2w+,UK,4.7,29,97,NA,,,https://www.ocado.com/productImages/527/527610011_0_150x150.jpg?identifier=86ae25009271f20367950f04f1988e38,https://www.ocado.com/products/m-s-cornish-cove-vintage-cheddar-527610011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
