title,weight,price,shelf_life,images,product_link,category_link
BOL Creamy Thai Green Curry Veg Pot,345g,£2.40,LIFE 4d+,https://www.ocado.com/productImages/281/281004011_0_150x150.jpg?identifier=7b77d741e3ef06b71e7b3434f428c42d,https://www.ocado.com/products/bol-creamy-thai-green-curry-veg-pot-281004011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Pieminister Moo British Steak & Ale Pie,270g,£3.25,LIFE 5d+,https://www.ocado.com/productImages/496/49626011_0_150x150.jpg?identifier=e5bd91b2745359892903bc55e02f2039,https://www.ocado.com/products/pieminister-moo-british-steak-ale-pie-49626011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Pieminister Moolin Rouge Pie Kit,578g,£6.50,LIFE 3w+,https://www.ocado.com/productImages/568/568787011_0_150x150.jpg?identifier=b775753e4d2415d5d45e4db4c6cd4d16,https://www.ocado.com/products/pieminister-moolin-rouge-pie-kit-568787011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Potato Salad,300g,90p,LIFE 4d+,https://www.ocado.com/productImages/572/572038011_0_150x150.jpg?identifier=2a6e8d8507247d875ab0b32b6eca413f,https://www.ocado.com/products/ocado-potato-salad-572038011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Creamy Coleslaw,300g,£1,LIFE 4d+,https://www.ocado.com/productImages/572/572040011_0_150x150.jpg?identifier=9b494a31ffb793d0d66b865832adeb65,https://www.ocado.com/products/ocado-creamy-coleslaw-572040011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Reduced Fat Coleslaw,300g,90p,LIFE 4d+,https://www.ocado.com/productImages/572/572041011_0_150x150.jpg?identifier=5157e415409bcd124214e2cf4404b22a,https://www.ocado.com/products/ocado-reduced-fat-coleslaw-572041011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
GROUNDED Milk Chocolate Plant-Protein Shake,490ml,£2.30,NA,https://www.ocado.com/productImages/562/562823011_0_150x150.jpg?identifier=d6cc757d04cf7c67fa68dc21ec9c49fb,https://www.ocado.com/products/grounded-milk-chocolate-plant-protein-shake-562823011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Solo Coffee Concentrate - Espresso Strength Cold Brew Coffee,1L,£12,NA,https://www.ocado.com/productImages/562/562692011_0_150x150.jpg?identifier=5fabc1be4686abff2e3b975b82941c33,https://www.ocado.com/products/solo-coffee-concentrate-espresso-strength-cold-brew-coffee-562692011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
EXALT Chilled AF Cold-Pressed Fruit Juice with CBD,330ml,£4.95,LIFE 1w+,https://www.ocado.com/productImages/558/558133011_0_150x150.jpg?identifier=3ac723f1bd9fca958cdbbc83898c5696,https://www.ocado.com/products/exalt-chilled-af-cold-pressed-fruit-juice-with-cbd-558133011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Fairtrade Bananas,5 per pack,69p,LIFE 1d+,https://www.ocado.com/productImages/448/44855011_0_150x150.jpg?identifier=20ad9b6472e0b49d00aa0ed721dd0906,https://www.ocado.com/products/ocado-fairtrade-bananas-44855011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Cucumber,,43p,LIFE 4d+,https://www.ocado.com/productImages/240/240875011_0_150x150.jpg?identifier=7b5f41d1abd5d919eff6924dfbc5567b,https://www.ocado.com/products/ocado-cucumber-240875011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
